Matrícula;Nome;Disciplinas;Tipo;Curso
2012101001;Joao Batista;MAT00001,INF00001;G;5
2012101002;Pedro Simas;MAT00001,INF00001;G;6
2012101003;Adalberto Alves;MAT00001,INF00001;G;9
2012101004;José Matias;MAT00001,INF00001;G;11
2012101005;Lisa Silva;EST00010,INF00011;P;M
2013020001;Joana Correia;MAT00001,INF00001;G;5
2013020002;Augusto Cesar;MAT00001,INF00001;G;6
2013020003;José de Jesus;MAT00001;G;9
2013020004;Mateus Newton;EST00010,INF00011;P;M
2013020005;Lucas Zaragoza;EST00010;P;D
2014502001;Jackson Chen;INF00001;G;11
2014502002;Jiraya da Silva;INF00001;G;5
2014502003;Jobede Pereira;INF00001;G;6
2014502004;Matusalem Vida Longa;INF00001;G;9
2014502005;Ruan Mata;EST00010,INF00011;P;D
2013011001;Adalberto Vieira;INF00011,INF00001;P;M
2013011002;Julio Kley;INF00011,INF00001;P;D
2013011003;Marcio Lugano;INF00011,INF00001;P;D
2013011004;Laiane Casagrande;INF00011,INF00001;P;D
2013011005;Luiz Pinto;INF00011,INF00001;P;M
