Matrícula;Nome;Disciplinas;Tipo;Curso
2012829179;Amelie Polan;FIS09066;G;10
2012728372;Alice da Silva;FIS09066;G;10
2013836493;Pedro Almeida;FIS09066;G;10
2012648392;Margarete de Alcantra;FIS09066;G;10
2012348791;Lucas Costa;FIS09066;G;10
2012387494;Clark Clein;FIS09066, CIV07863;G;10
2012492387;Roberto Duarte;FIS09066, CIV07863;G;10
2013398418;Poliana Kiss;FIS09066;G;10
2013394709;Daniele Montovani;FIS09066;G;10
2013742931;Gilberto Triste;CIV07863;G;4
2013298470;Ronan Leal;CIV07863;G;4
2012039280;Emily Silva;CIV07863, FIS09066;G;4
2013098410;Alice Mourão;CIV07863;G;4
2012083490;Arthur Roque;CIV07863;G;4
2013498300;Nora Grey;CIV07863, FIS09066;G;4
2012409888;Evelien Bergamim;CIV07863, FIS09066;G;4
2012930200;Mario Costa;CIV07863;G;4
2013938477;Ana Carolina dos Santos;CIV07863;G;4
2013403888;Leonardo Pereira;CIV07863, FIS09066;G;4
2012657488;Eduardo Melim;EPR07984;P;M
2013420398;Thales Barbosa;EPR07984;P;M
2012123456;Vanessa Pinto;EPR07984;P;M
2012123457;Ronaldo de Azevedo;EPR07984;P;M
2012123450;Cristiano Ronaldo;EPR07984;P;M
2013098888;Camila Firmino;EPR07984;P;M
2012090909;Joao Costa;EPR07984;P;M
2013898998;Carina Kristen;EPR07984;P;M
2013787878;Wesley Bernadino;EPR07984;P;M
2012343434;Caio Cezar Medeiros;DEA07877;P;D
2013888888;Junior Cabral;DEA07877;P;D
2013000001;Ramon Bringe;DEA07877;P;D
2013333334;Matheus Gama;DEA07877;P;D
2013111111;Welitom Massi;DEA07877;P;D
2013717171;Vinicius Margon;DEA07877;P;D
2013977729;Lucas Barros;DEA07877;P;D
2013948881;Karolini Bortoline;DEA07877;P;D
2013777775;Fernando Silva;DEA07877;P;D
2012222225;Jorge Soares;DEA07877;P;D
2013000000;Kona Cisten;DEA07877;P;D
2012098765;Isac Hona;DEA07877;P;D
2012102938;Vitor Herlesy;DEA07877;P;D
2012666023;Juliano Trinte;DEA07877;P;D
2013010203;Alberto Soares;DEA07877;P;D
