Matrícula;Nome;Disciplinas;Tipo;Curso
20100110;Barbara Alencastre;ECO0325;G;17
20100111;Tatiane Mendes;ECO0325;G;22
20100112;Ingrid Bittencourt;ECO0325;G;17
20100114;Izabella Franca;ECO0325, ECO0326;P;D
20100115;Scott Summers;ECO0325, ECO0326;P;M
20100116;Jean Grey;ECO0325, ECO0326;G;17
20100130;Katarina Noxus;ECO0325, ECO0326;P;D
20100117;Cassiopeia Noxus;ECO0325;G;17
20100118;Vladmir Caixão;ECO0325;P;M
20111002;Wey Wrigth;ECO0325;P;M
20111003;Bridgit Mendler;ECO0326;P;M
20111004;Paula Fernandes;ECO0326;G;22
20122001;Amoeba de Massa;ECO0326;G;22
20122002;Ahri Éguas;ECO0326, ECO0325;G;22
20122003;Vladmir Pudim;ECO0326;G;22
20131033;Hillary Clintown;ECO0326;P;D
20131034;Wolfverinne Guerra;ECO0326;P;D
20131052;Inês Brasil;ECO0326, ECO0325;G;17
20140112;Shyvanna von Fuego;ECO0326;G;17
20151002;Tomaz Tomate Frito;ECO0326;G;17
