Matrícula;Nome;Disciplinas;Tipo;Curso
2015105512;Ryu Hayabusa;INF03117, INF08000;G;10
2015105513;Suzana Garb;INF03117, INF08000;G;10
2015105497;Alan Fiorim;INF03117, INF08000;G;10
2013101177;Helena Douglas;INF08000;G;11
2013101178;Bass Armstrong;INF08000;G;2
2013101179;Lisa Hamilton;INF08000, INF06969;G;11
2013101180;Ryu Ken;INF03117;G;10
2013101171;Naotora Li;INF06969;G;2
2013101199;Vincent Vega;INF01919;G;11
2011101130;Jules Winnfield;INF01919;G;10
2011101131;Butch Coolidge;INF01919;G;1
2011101132;Marsellus Wallace;INF01919;G;1
2011101133;Mia Wallace;INF03117, INF06969;G;10
2011101137;Marilyn Monroe;INF06969;P;M
2011101138;James Dean;INF08000;P;M
2011101134;Ed Sullivan;INF06969;P;M
2011101135;Phillip Morris Page;INF06969;P;M
2011101136;Ricky Nelson;INF06969, INF03117;P;D
2011101139;Dean Martin;INF08000;P;D
2011101400;Esmeralda Villalobos;INF06969;P;D
