Matrícula;Nome;Disciplinas;Tipo;Curso
2014690117;Aldo Raine;QUI03212;G;3
2014690118;Hans Landa;BIO02123;G;22
2014690119;Donny Donowitz;BIO02123;G;22
2014690120;Archie Hicox;BIO02123;G;22
2014690121;Bridget von Hammersmark;QUI03212;G;3
2014690122;Fredrick Zoller;BIO02123;G;22
2014690123;Hugo Stiglitz;BIO02123;G;22
2014690124;Wilhelm Wicki;QUI03212;G;3
2014690125;Smithson Utivich;BIO02123;G;22
2014690126;Omar Ulmer;BIO02123;G;22
2014690127;Perrier LaPadite;QUI03212;G;3
2014690128;Joseph Goebbels;QUI03212;L;3
2014690129;Ed Fenech;BIO02123;G;22
2014690130;Francesca Mondino;QUI03212;P;M
2014690131;Pola Negri;QUI03212;P;M
2014690132;Winston Churchill;QUI03212;P;M
2014690133;Walter Frazer;BIO02123;P;M
2014690134;Andy Kagan;QUI03212;P;D
2014690135;Michael Zimmerman;BIO02123;P;D
2014690136;Mata Hari;BIO02123;P;D
