Matrícula;Nome;Disciplinas;Tipo;Curso
2016930886;Nilza Ramalho;ART0544, ART0968;G;19
2010636915;Liana Peralta;ART0544, ART0968;G;19
2010238335;Lucrécia Rua;ART0544, ART0968;G;19
2011760492;Arminda Lemes;ART0544, ART0968;G;19
2010641421;Carlos Marmou;ART0968;G;19
2011490027;Capitolino Galvão;ART0968;G;19
2011520059;Vanda Tabosa;ART0968;P;M
2012513926;Galindo Alcaide;ART0968;P;M
2013383426;Honorina Monjardim;FIS06326;G;17
2013455736;Luzia Castelo Branco;FIS06326;G;17
2012595368;Eudes Fontes;FIS06326, MAT06579;G;17
2016956429;Silvana Mondragão;FIS06326, MAT06579;P;M
2015021530;Leila Mendonça;MAT06579;G;17
2015665123;Herberto Freitas;MAT06579;G;17
2012703135;Guilhermina Domingues;MAT06579;G;17
2010979802;Nelson Lobo;MAT06579;G;17
2010205634;Manuela Viveiros;MAT06579;G;17
2016048126;Roque Marinho;MAT06579;G;17
2015386919;Nestor Outeiro;MAT06579;P;D
2009837130;Micaela Bandeira;MAT06579;P;D
