Matrícula;Nome;Disciplinas;Tipo;Curso
2000;Superman;HER4321;G;10
2001;Batman;HER4321;G;10
2002;Homem Aranha;HER1122;P;M
2003;Wolverine;HER1122;P;D
2004;Mulher Maravilha;HER1234;G;20
2005;Jean Grey;HER4321, HER1234;G;20
2006;Vampira;HER1234, HER4321;G;15
2007;Mulher Gato;HER1122;P;D
2008;Mística;HER1122;P;M
2009;Capitão América;HER1234;G;15
2010;Arqueiro Verde;HER1234;G;15
2011;Homem de Ferro;HER1122;P;M
2012;Hulk;HER4321, HER1234;G;20
2013;Flash;HER4321;G;15
2014;Thor;HER1122;P;M
2015;Chapolin Colorado;HER1234;G;10
2016;Aquaman;HER1234;G;15
2017;Iceman;HER4321;G;20
2018;Lanterna Verde;HER1122;P;M
2019;Deadpool;HER1122;P;D
